version,firmware,app_version,app,commitid
000013,firmware-000013.bin,000003,app.html-000003.gz,f692403
000014,firmware-000014.bin,000003,app.html-000003.gz,8a17657
000014,firmware-000014.bin,000004,app.html-000004.gz,8a84f22
000015,firmware-000015.bin,000004,app.html-000004.gz,a2995eb
000015,firmware-000015.bin,000005,app.html-000005.gz,714b81c
000016,firmware-000016.bin,000005,app.html-000005.gz,9568f12
000017,firmware-000017.bin,000006,app.html-000006.gz,8b2838b
000018,firmware-000018.bin,000007,app.html-000007.gz,87bca98
000018,firmware-000018.bin,000008,app.html-000008.gz,bf6992f
000019,firmware-000019.bin,000009,app.html-000009.gz,d2a57df
000020,firmware-000020.bin,000009,app.html-000009.gz,8b748bb
000021,firmware-000021.bin,000010,app.html-000010.gz,7cabe69
000022,firmware-000022.bin,000011,app.html-000011.gz,a1dea76
000023,firmware-000023.bin,000011,app.html-000011.gz,9e404ef
000024,firmware-000024.bin,000012,app.html-000012.gz,30bc223
000025,firmware-000025.bin,000013,app.html-000013.gz,6f07556
